# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu-clock:ppp'
# Event count (approx.): 2639250000
#
# Overhead  Command          Shared Object              Symbol
# ........  ...............  .........................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.09%  countwords_par_  libicuuc.so.72.1           [.] ures_open_72
     0.08%  countwords_par_  [kernel.kallsyms]          [k] prepend_path
     0.08%  countwords_par_  [kernel.kallsyms]          [k] strncpy_from_user
     0.08%  countwords_par_  libicui18n.so.72.1         [.] icu_72::MeasureUnit::MeasureUnit(icu_72::MeasureUnit const&)
     0.08%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::LocalizedNumberFormatter::lnfMoveHelper(icu_72::number::LocalizedNumberFormatter&&)
     0.08%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::DecimalFormatProperties::clear()
     0.08%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::StringProp::StringProp(icu_72::number::impl::StringProp&&)
     0.08%  countwords_par_  libicui18n.so.72.1         [.] 0x0000000000151af2
     0.08%  countwords_par_  libicui18n.so.72.1         [.] 0x00000000001d1050
     0.08%  countwords_par_  libicuuc.so.72.1           [.] icu_72::SharedObject::addRef() const
     0.08%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UMemory::operator new(unsigned long)
     0.08%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UObject::~UObject()
     0.08%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnicodeString::cloneArrayIfNeeded(int, int, signed char, int**, signed char)
     0.08%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnifiedCache::_get(icu_72::CacheKeyBase const&, icu_72::SharedObject const*&, void const*, UErrorCode&) const
     0.08%  countwords_par_  libicuuc.so.72.1           [.] u_strcpy_72
     0.08%  countwords_par_  libstdc++.so.6.0.32        [.] std::locale::locale(std::locale const&)
     0.07%  countwords_par_  [kernel.kallsyms]          [k] kmem_cache_free
     0.07%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DateFormat::DateFormat()
